任务描述,任务描述
版块ID,版块ID
一共,一共
所属国家：,所属国家：
Eav属性集,Eav属性集
头像,头像
必须选择一个多值类型,必须选择一个多值类型
环比,环比
图标,图标
恢复,恢复
"这篇文章安全的保留下来了！","这篇文章安全的保留下来了！"
Bbs应用面板,Bbs应用面板
组名,组名
开发工具,开发工具
主题布局,主题布局
URL管理器,URL管理器
'欢迎来到命令交互世界！','欢迎来到命令交互世界！'
Eav属性归组,Eav属性归组
三月,三月
缓存,缓存
收集时间,收集时间
面板,面板
属性,属性
"开启后，保持内容最大化","开启后，保持内容最大化"
角色管理,角色管理
二月,二月
紧凑布局,紧凑布局
国家管理：帮助建立对应国家的i18n翻译。,国家管理：帮助建立对应国家的i18n翻译。
通知,通知
一共有,一共有
Eav属性：管理实体属性,Eav属性：管理实体属性
四月,四月
新浏览者,新浏览者
Smtp用户名录入成功,Smtp用户名录入成功
已安装,已安装
1月,1月
说明,说明
请个Smtp用户密码,请个Smtp用户密码
五月,五月
是否是系统生成,是否是系统生成
安装国家,安装国家
调度状态,调度状态
新增文章,新增文章
词典管理,词典管理
国家,国家
发布,发布
水平布局,水平布局
属性名,属性名
返回,返回
社媒来源,社媒来源
支持角色权限管理,支持角色权限管理
属性名(最短三个字符),属性名(最短三个字符)
默认,默认
目录管理,目录管理
属性类型,属性类型
缓存管理,缓存管理
实体ID,实体ID
退出,退出
属性信息编辑,属性修改时某些信息是不能修改的，否则数据结构会异常。但是你可以删除这个属性然后使用相同的属性代码（code）创建其他类型的属性。,属性信息编辑,属性修改时某些信息是不能修改的，否则数据结构会异常。但是你可以删除这个属性然后使用相同的属性代码（code）创建其他类型的属性。
地区列表,地区列表
默认尺寸,默认尺寸
管理员,管理员
Eav_>_属性组,Eav_>_属性组
国家名称,国家名称
菜单管理,菜单管理
前端模板库,前端模板库
邮箱,邮箱
'Bbs论坛','Bbs论坛'
用户管理,用户管理
是否有配置项,是否有配置项
分配,分配
模板文件：%1_END,模板文件：%1_END
是否禁用,是否禁用
运行时错误日期,运行时错误日期
Acl权限分配,Acl权限分配
暂无记录,暂无记录
复制,复制
提示！,提示！
是否系统生成,是否系统生成
上次运行日期,上次运行日期
Eav属性组,Eav属性组
发送,发送
下一页,下一页
最后一页,最后一页
只需要在前端或者后端刷新页面，或者使用命令：php bin/m cache:warm 也可以收集到大部分词。,只需要在前端或者后端刷新页面，或者使用命令：php bin/m cache:warm 也可以收集到大部分词。
插件管理,插件管理
Eav实体,Eav实体
是否安装,是否安装
系统属性,系统属性
用户,用户
系统实体,系统实体
搜索 ...,搜索 ...
管理员用户角色归属分配,管理员用户角色归属分配
添加,添加
Acl资源,Acl资源
1年,1年
Fancy,Fancy
没有特定配置项,没有特定配置项
Eav,Eav
后端模板库,后端模板库
'版本','版本'
提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php_bin/m_translate:model:set_online,提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php_bin/m_translate:model:set_online
Smtp主机录入成功,Smtp主机录入成功
标题,标题
调度任务,调度任务
一月,一月
<?=($task,<?=($task
刷新来自前端采集到的词。,刷新来自前端采集到的词。
属性集代码,属性集代码
是否多值,是否多值
只需要在前端或者后端刷新页面，或者使用命令：php_bin/m_cache:warm_也可以收集到大部分词。,只需要在前端或者后端刷新页面，或者使用命令：php_bin/m_cache:warm_也可以收集到大部分词。
是否持久化,是否持久化
全局_默认/还原,全局_默认/还原
费用,费用
编辑,编辑
Acl角色权限分配,Acl角色权限分配
你好翻译包i18n！,你好翻译包i18n！
模板文件：%1 END,模板文件：%1 END
开发文档管理器,开发文档管理器
访问控制权限管理,访问控制权限管理
属性组代码,属性组代码
在线收集词典功能状态：,在线收集词典功能状态：
旗帜,旗帜
欢迎使用WelineFramework框架后台系统！,欢迎使用WelineFramework框架后台系统！
维护,维护
更新（收集）,更新（收集）
'Bbs','Bbs'
有特定配置项,有特定配置项
将属性归组方便管理,将属性归组方便管理
预计下次运行日期,预计下次运行日期
水平菜单置顶,水平菜单置顶
i18n国际化国家列表,i18n国际化国家列表
小尺寸,小尺寸
布局尺寸,布局尺寸
导出语言包,导出语言包
事件管理,事件管理
主题数,主题数
Weline Admin 管理面板,Weline Admin 管理面板
父版块,父版块
根据地区翻译来自前端采集到的词_,根据地区翻译来自前端采集到的词_
根据地区翻译来自前端采集到的词.,根据地区翻译来自前端采集到的词.
实时,实时
管理员管理,管理员管理
模组,模组
查看全部,查看全部
开发配置,开发配置
URL路由列表,URL路由列表
解锁,解锁
位置,位置
Smtp测试邮件地址录入成功！,Smtp测试邮件地址录入成功！
可以管理属性，实现____________________________________,可以管理属性，实现____________________________________
选择角色所管理的权限,选择角色所管理的权限
Eav_>_属性集,Eav_>_属性集
区域,区域
属性集信息编辑。,属性集信息编辑。
消息,消息
名称,名称
每分钟浏览者,每分钟浏览者
首页,首页
i18n国际化,i18n国际化
盒子,盒子
半年,半年
属性不存在！,属性不存在！
页顶菜单,页顶菜单
暗黑模式,暗黑模式
调整管理员角色,调整管理员角色
属性集,属性集
Smtp配置,Smtp配置
更新,更新
请个输入端口,请个输入端口
模组管理,模组管理
"文章删除失败，请重试！","文章删除失败，请重试！"
十二月,十二月
国家代码,国家代码
实体不存在！,实体不存在！
区域营收,区域营收
主题颜色,主题颜色
属性组ID,属性组ID
你可以查看实体，但无法对实体进行编辑，因为实体是数据库设计实现的概念。系统设计之初，实体的概念已经和代码结合，不能删除和修改，只能作为参考。但是你可以尝试新增实体,但并不推荐这种做法。,你可以查看实体，但无法对实体进行编辑，因为实体是数据库设计实现的概念。系统设计之初，实体的概念已经和代码结合，不能删除和修改，只能作为参考。但是你可以尝试新增实体,但并不推荐这种做法。
该模型没有实体！,该模型没有实体！
安装,安装
代码,代码
类,类
跳出率,跳出率
主机,主机
菜单明亮,菜单明亮
操作,操作
运行次数,运行次数
““论坛板块”指的是专门发表论坛的一个板块,也就相当于qq空间中的日志,有着某种相关信息,相关内容的,占整个空间的一个部分。”,““论坛板块”指的是专门发表论坛的一个板块,也就相当于qq空间中的日志,有着某种相关信息,相关内容的,占整个空间的一个部分。”
阻塞时长（单位：秒）,阻塞时长（单位：秒）
导航栏,导航栏
国际化I18n管理,国际化I18n管理
明亮,明亮
导入语言包,导入语言包
必须选择一个类型,必须选择一个类型
暗黑,暗黑
属性组,属性组
保存配置,保存配置
继续新增,继续新增
请输入邮箱地址,请输入邮箱地址
密码,密码
仅做标记是否由系统生成，或者非系统生成（用户自定义）。,仅做标记是否由系统生成，或者非系统生成（用户自定义）。
侧边栏,侧边栏
发件记录,发件记录
测试邮箱,测试邮箱
将属性归档为集-方便管理,将属性归档为集-方便管理
<?=$translate_mode ??'';?>,<?=$translate_mode ??'';?>
属性信息编辑,属性信息编辑
附件,附件
"已删除！","已删除！"
创建于,创建于
条数据,条数据
请输入主机名,请输入主机名
上次运行时间,上次运行时间
开发文档,开发文档
用户名,用户名
一共 %1 页,一共 %1 页
i18n国际化词典,i18n国际化词典
Smtp测试邮件地址未录入！,Smtp测试邮件地址未录入！
布局元素,布局元素
超级管理员,超级管理员
更新时间,更新时间
集,集
路由管理,路由管理
还原,还原
管理员角色分配,管理员角色分配
端口,端口
添加属性,添加属性
上一页,上一页
卸载,卸载
属性ID,属性ID
论坛版块,论坛版块
次,次
请正确填写属性名！(最短三个字符),请正确填写属性名！(最短三个字符)
地方/区域,地方/区域
设置,设置
标志,标志
全部,全部
可以管理属性，实现,可以管理属性，实现
更新于,更新于
翻译时间,翻译时间
执行频率,执行频率
Smtp端口录入成功,Smtp端口录入成功
模板文件：%1 START,模板文件：%1 START
请,请
当前词典（语言包）：,当前词典（语言包）：
来源,来源
Smtp用户密码录入成功,Smtp用户密码录入成功
跳转页,跳转页
国际化支持：查看和安装国家.,国际化支持：查看和安装国家.
主题,主题
订单统计,订单统计
激活状态,激活状态
i18n国际化>国家>地区>词典,i18n国际化>国家>地区>词典
属性集名,属性集名
分钟,分钟
最近成交,最近成交
有配置项则只能选择配置项内设置的值，没有配置项可以输入任意值。,有配置项则只能选择配置项内设置的值，没有配置项可以输入任意值。
高级设置,高级设置
成功推送收集词汇！推送消息：%msg,成功推送收集词汇！推送消息：%msg
WelineFramework,WelineFramework
国际化支持：查看和安装国家_,国际化支持：查看和安装国家_
权限角色,权限角色
小时,小时
布局类,布局类
属性表单,属性表单
查看更多,查看更多
暂无文章,暂无文章
填写正确！,填写正确！
Upzet,Upzet
角色分配,角色分配
运行时错误,运行时错误
图文菜单,图文菜单
垂直塌陷,垂直塌陷
请输入Smtp用户名,请输入Smtp用户名
利润,利润
翻译,翻译
"已取消删除！","已取消删除！"
水平紧凑布局,水平紧凑布局
属性代码,属性代码
请输入页码,请输入页码
展示语言：,展示语言：
属性集ID,属性集ID
未分配角色,未分配角色
Acl角色管理,Acl角色管理
管理权限,管理权限
属性组表单,属性组表单
'发布文章','发布文章'
组,组
词,词
Smtp邮件服务,Smtp邮件服务
I18n国际化,I18n国际化
Eav > 属性组,Eav > 属性组
编写开发文档,编写开发文档
运行时长,运行时长
新增,新增
词典,词典
分组,分组
明亮模式,明亮模式
阻塞超时解锁时长,阻塞超时解锁时长
你好i18n！,你好i18n！
Acl权限管理,Acl权限管理
有色,有色
权限资源,权限资源
属性组信息编辑。,属性组信息编辑。
保持最大化,保持最大化
修改,修改
Weline_Admin_管理面板,Weline_Admin_管理面板
配置项,配置项
全局 默认/还原,全局 默认/还原
删除,删除
实体主键字段类型,实体主键字段类型
i18n国际化>国家,i18n国际化>国家
禁用,禁用
保存,保存
关联实体,关联实体
online,online
收集成功！一共收集更新词条：%1 个,收集成功！一共收集更新词条：%1 个
菜单布局,菜单布局
概览,概览
请输入Smtp主机,请输入Smtp主机
"操作后你将无法恢复！","操作后你将无法恢复！"
后台,后台
权限分配,权限分配
<?=$translate_mode_??'';?>,<?=$translate_mode_??'';?>
提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php bin/m translate:model:set online,提示：使用词典收集功能请先开启在线收集词语功能。开启命令：php bin/m translate:model:set online
RTL模式,RTL模式
推送收集词汇失败！推送消息：%1,推送收集词汇失败！推送消息：%1
"默认无布局：开启后，设置水平布局，关闭后，设置垂直布局","默认无布局：开启后，设置水平布局，关闭后，设置垂直布局"
权限管理,权限管理
内容管理,内容管理
创建时间,创建时间
开发文档前端,开发文档前端
个词条,个词条
URL路由重写,URL路由重写
是否启用,是否启用
选择类型进行筛选,选择类型进行筛选
计划任务管理,计划任务管理
Eav实体：管理实体,Eav实体：管理实体
图标菜单,图标菜单
非系统属性,非系统属性
分配权限,分配权限
"是的，我确定要删除！","是的，我确定要删除！"
系统,系统
角色归配,角色归配
（尚未开发）,（尚未开发）
启用,启用
正在为角色,正在为角色
阻塞解锁次数,阻塞解锁次数
好的,好的
水平顶黑,水平顶黑
"你确定要操作么？","你确定要操作么？"
删除提示！,删除提示！
水平盒子,水平盒子
排序,排序
版块,版块
为了安全，默认支持auth验证和开启secure安全模式！仅https和验证模式下正常运行。,为了安全，默认支持auth验证和开启secure安全模式！仅https和验证模式下正常运行。
实体主键字段长度,实体主键字段长度
请输入Smtp端口,请输入Smtp端口
不要，取消吧！,不要，取消吧！
类型,类型
属性组名,属性组名
ID,ID
一共_%1_页,一共_%1_页
国际化支持：翻译管理多种语言词典_,国际化支持：翻译管理多种语言词典_
"文章已经被删除了！","文章已经被删除了！"
执行类名,执行类名
其他,其他
组代码,组代码
实体,实体
请输入Smtp用户密码,请输入Smtp用户密码
Bbs论坛,Bbs论坛
必须选择一个组,必须选择一个组
属性集表单,属性集表单
当前角色,当前角色
系统配置,系统配置
模板文件：%1_START,模板文件：%1_START
操作：,操作：
地区,地区
